Apartment Name,Address,Rent,Features,Appliances,Dogs Policy,Cats Policy,Large Dogs Policy,Small Dogs Policy,Pets Allowed,school_name_1,Grades_1,Rank_1,school_name_2,Grades_2,Rank_2,school_name_3,Grades_3,Rank_3
Third at Bankside,"2385 3rd Ave, Bronx, NY 10451","$2,814-$3,518/mo",Apartment buildingStudio-2 bedsOther parking + 1In-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Ps 154 Jonathan D Hyatt,PK-5,5,Bronx Academy Of Letters,6-12,2,,,
West Wharf,"60 Wharf Dr, Brooklyn, NY 11222","$3,631-$4,500/mo",Apartment buildingStudio-3 bedsPet-friendlyAir conditioning availableIn-unit dryer + 2,"Dishwasher, Dryer, Microwave oven, Washer","Allowed, 2 pet max, Pets Allowed","Allowed, 2 pet max, Pets Allowed",N/A,N/A,N/A,,,,,,,,,
The Suffolk,"55 Suffolk St, New York, NY 10002","$3,796/mo",N/A,"Dishwasher, Dryer, Microwave oven, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
420 Carroll,"420 Carroll St, Brooklyn, NY 11215","$3,435/mo",N/A,"Dishwasher, Dryer, Freezer, Oven, Refrigerator, Washer, Washer/dryer hookups",N/A,Allowed,Allowed,Allowed,N/A,,,,,,,,,
Lincoln at Bankside,"5 Lincoln Ave, Bronx, NY 10454","$3,010-$3,675/mo",N/A,"Dryer, Washer",Allowed,Allowed,N/A,N/A,N/A,Ps 154 Jonathan D Hyatt,PK-5,5,Bronx Academy Of Letters,6-12,2,,,
The Ellery,"312 W 43rd St, New York, NY 10036","$4,230-$4,500/mo",Apartment buildingStudio-2 bedsPet-friendlyAir conditioning (central)In-unit dryer + 1,"Dishwasher, Dryer, Microwave oven, Oven, Refrigerator, Washer",N/A,Allowed,Not allowed,Allowed,N/A,,,,,,,,,
95 Wall,"95 Wall St, New York, NY 10005","$3,558-$4,710/mo",Apartment buildingStudio-2 bedsPet-friendlyAir conditioning availableIn-unit dryer + 2,"Dryer, Oven, Washer","Allowed, 2 pet max, Acceptable animals include domestic cats and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American","Allowed, 2 pet max, Acceptable animals include domestic cats and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American",N/A,N/A,N/A,Peck Slip School (The),PK-5,8,Jhs 104 Simon Baruch,6-8,7,Millennium High School,9-12,8
Luxe By Russos,"241 Northern Blvd, Douglaston, NY 11362","$3,100-$3,400/mo",N/A,"Convection oven, Dishwasher, Dryer, Freezer, Microwave oven, Refrigerator, Washer",N/A,Allowed,Not allowed,Allowed,N/A,,,,,,,,,
461 Dean,"461 Dean St, Brooklyn, NY 11217","$4,095-$5,645/mo",Apartment building1-2 bedsPet-friendlyAir conditioning availableIn-unit dryer + 2,"Dishwasher, Dryer, Garbage disposal, Microwave oven, Washer","Allowed, Pets Allowed","Allowed, Pets Allowed",N/A,N/A,N/A,,,,,,,,,
Avalon Bowery Place,"11 E 1st St, New York, NY 10003","$4,900-$4,980/mo",N/A,N/A,Allowed,Allowed,N/A,N/A,N/A,S.T.A.R. Academy - PS 63,PK-5,5,School For Global Leaders,6-8,6,Cascades High School,9-12,3
The Olivia,"315 W 33rd St, New York, NY 10001","$3,831-$4,336/mo",Apartment buildingStudio-2 beds,N/A,N/A,N/A,N/A,N/A,N/A,Ps 33 Chelsea Prep,PK-5,5,Middle 297,6-8,4,Satellite Academy High School,9-12,2
The Chelsea,"160 W 24th St, New York, NY 10011","$4,686/mo",Apartment buildingStudio-2 bedsPet-friendlyIn-unit dryer + 2,"Dishwasher, Dryer, Washer","Allowed, 2 pet max, 100 lbs. weight limit","Allowed, 2 pet max, 100 lbs. weight limit",N/A,N/A,N/A,PS 11 Sarah J Garnett Elementary School (The),PK-5,6,Jhs 104 Simon Baruch,6-8,7,The High School of Fashion Industries,9-12,5
363 Bond Street,"363 Bond St, Brooklyn, NY 11231","$3,595/mo",Apartment buildingStudio-1 bedPet-friendlyUnderground garageAir conditioning availableIn-unit dryer + 1,"Dishwasher, Dryer, Freezer, Microwave oven, Oven, Range, Refrigerator, Washer",N/A,Allowed,Allowed,Allowed,N/A,Ps 32 Samuels Mills Sprole,PK-5,6,Ms 51 William Alexander,6-8,6,Cobble Hill School of American Studies,9-12,2
15 Cliff,"15 Cliff St, New York, NY 10038","$4,851-$5,251/mo",Apartment building1-2 beds,Dishwasher,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
Aalto57,"1065 2nd Ave, New York, NY 10022","$4,825-$5,200/mo",N/A,"Dishwasher, Dryer, Microwave oven, Refrigerator, Washer","Allowed, 2 pet max, 80 lbs. weight limit, $500 one time fee, Breed Restrictions. Please reach out to management for a full list.","Allowed, 2 pet max, $500 one time fee",N/A,N/A,N/A,,,,,,,,,
"43 Douglaston Pkwy #82084D7DC, Little Neck, NY 11363","43 Douglaston Pkwy #82084D7DC, Little Neck, NY 11363","$2,295+/mo","ApartmentAvailable --- ---- One-time feesSmall dogs OKAir conditioner, wall unit, ceiling fanIn unit laundryParking lot parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
Avalon Morningside Park,"1 Morningside Dr, New York, NY 10025","$4,740-$4,745/mo",N/A,N/A,Allowed,Allowed,N/A,N/A,N/A,,,,,,,,,
"105 Haven Ave APT 4K, New York, NY 10032","105 Haven Ave APT 4K, New York, NY 10032","$2,450/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"698 Eastern Pkwy #2R, Brooklyn, NY 11213","698 Eastern Pkwy #2R, Brooklyn, NY 11213","$2,265/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
231 E 117th St,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Ps 155 William Paca,PK-5,2,Renaissance School Of The Arts,6-8,3,Coalition School For Social Change,9-12,NA
"3022 Clarendon Rd #2, Brooklyn, NY 11226","3022 Clarendon Rd #2, Brooklyn, NY 11226","$2,250/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"500 W 148th St APT 3G, New York, NY 10031","500 W 148th St APT 3G, New York, NY 10031","$2,250/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"93 Bainbridge St #3F, Brooklyn, NY 11233","93 Bainbridge St #3F, Brooklyn, NY 11233","$2,400/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"321 E 115th St #4A, New York, NY 10029","321 E 115th St #4A, New York, NY 10029","$2,350/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"1030 Woodycrest Ave APT 1F, Bronx, NY 10452","1030 Woodycrest Ave APT 1F, Bronx, NY 10452","$1,900/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
11-24 31st Dr,N/A,N/A,Apartment buildingStudio-2 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Ps 171 Peter G Van Alst,PK-5,4,Albert Shanker School For Visual And Performing Ar,6-8,6,Long Island City High School,9-12,3
265 Lorimer St,N/A,N/A,Apartment buildingStudio-2 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Ps 250 George H Lindsey,PK-5,3,Is 318 Eugeno Maria De Hostos,6-8,6,Juan Morel Campos Secondary School,6-12,3
Hudson Crossing,"400 W 37th St, Manhattan, NY 10018",N/A,Apartment buildingStudio-2 bedsPet-friendlyAir conditioning availableShared laundry,"Dishwasher, Microwave oven, Refrigerator","Allowed, 2 pet max","Allowed, 2 pet max",N/A,N/A,N/A,P.S. 51 Elias Howe,PK-5,7,Middle 297,6-8,4,Professional Performing Arts High School,6-12,7
88 Linden Blvd,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,,,,,,,,,
42-22 27th St,N/A,N/A,Apartment buildingStudio-3 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Is 204 Oliver W Holmes,6-8,5,P.S. 78,PK-8,8,Long Island City High School,9-12,3
10 Montieth St,N/A,N/A,Apartment buildingStudio-3 beds,Dishwasher,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
800 Avenue Of The Americas,N/A,N/A,N/A,"Dishwasher, Dryer, Washer",N/A,N/A,N/A,N/A,N/A,Ps 33 Chelsea Prep,PK-5,5,Middle 297,6-8,4,Satellite Academy High School,9-12,2
The Melar,"250 W 93rd St, New York, NY 10025",N/A,N/A,Dishwasher,N/A,N/A,N/A,N/A,N/A,PS 84 Lillian Weber,PK-5,7,Community Action School Ms 258,6-8,4,The Global Learning Collaborative,9-12,5
"300 W 135th St APT 3L, New York, NY 10030","300 W 135th St APT 3L, New York, NY 10030","$2,650/mo",ApartmentAvailable --- ---- One-time fees-- PetsCentral airShared laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
433 Rogers Ave,N/A,N/A,Apartment building1 bed,N/A,N/A,N/A,N/A,N/A,N/A,Ps 91 The Albany Avenue School,PK-5,5,Ms 61 Gladstone H Atwell,6-8,5,Medgar Evers College Preparatory School,6-12,6
"154 Franklin St APT 3F, Brooklyn, NY 11222","154 Franklin St APT 3F, Brooklyn, NY 11222","$4,950/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",N/A,N/A,N/A,N/A,N/A,Yes,,,,,,,,,
"867 Riverside Dr APT 4-R, New York, NY 10032","867 Riverside Dr APT 4-R, New York, NY 10032","$2,300/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
43 W 16th St,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sixth Avenue Elementary School,PK-5,7,Jhs 104 Simon Baruch,6-8,7,Harvest Collegiate High School,9-12,7
