ADDRESS,APARTMENT NAME,RENT,FEATURES,APPLIANCES,SCHOOL_NAME_1,GRADES_1,RANK_1,SCHOOL_NAME_2,GRADES_2,RANK_2,SCHOOL_NAME_3,GRADES_3,RANK_3,ZIP CODE,CITY,BORO,AVERAGE RENT,IF_PETS_ALLOWED,FACTYPE,BUS STATION,COMMERCIAL GARAGE AND PARKING LOT,MUSEUM,PUBLIC LIBRARY,Safety_level
"1 Dutch St APT 7A, New York, NY 10038","1 Dutch St APT 7A, New York, NY 10038","$5,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,10038,New York,MANHATTAN,5000.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"1 Morningside Dr, New York, NY 10025",Avalon Morningside Park,"$4,740-$4,745/mo",,,,,,,,,,,,10025,New York,MANHATTAN,4742.5,Allowed,MUSEUM,0,123,63,43,Very Safe
"1 Union Square S, New York, NY 10003",Union Square South,,,"Dishwasher, Freezer, Oven, Range, Refrigerator",,,,,,,,,,10003,New York,MANHATTAN,,,MUSEUM,0,123,63,43,Very Safe
"1004 Fulton St #2B, Brooklyn, NY 11238","1004 Fulton St #2B, Brooklyn, NY 11238","$3,595/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,11238,Brooklyn,BROOKLYN,3595.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"1030 Woodycrest Ave APT 1F, Bronx, NY 10452","1030 Woodycrest Ave APT 1F, Bronx, NY 10452","$1,900/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10452,Bronx,BRONX,1900.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,0,32,3,35,Relatively Safe
"105 Conselyea St #A, Brooklyn, NY 11211","105 Conselyea St #A, Brooklyn, NY 11211","$3,200/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11211,Brooklyn,BROOKLYN,3200.0,,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"105 Haven Ave APT 4K, New York, NY 10032","105 Haven Ave APT 4K, New York, NY 10032","$2,450/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10032,New York,MANHATTAN,2450.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"105 Norfolk St APT 10C, New York, NY 10002","105 Norfolk St APT 10C, New York, NY 10002","$5,750/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,10002,New York,MANHATTAN,5750.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"1050 Bedford Ave #3A, Brooklyn, NY 11205","1050 Bedford Ave #3A, Brooklyn, NY 11205","$3,135/mo",ApartmentAvailable Fri Nov 1 2024-- One-time feesDogs OKCentral airIn unit laundry-- Parking-- Heating,,,,,,,,,,,11205,Brooklyn,BROOKLYN,3135.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"1065 2nd Ave, New York, NY 10022",Aalto57,"$4,825-$5,200/mo",,"Dishwasher, Dryer, Microwave oven, Refrigerator, Washer",,,,,,,,,,10022,New York,MANHATTAN,5012.5,Allowed,MUSEUM,0,123,63,43,Very Safe
"11 E 1st St, New York, NY 10003",Avalon Bowery Place,"$4,900-$4,980/mo",,,S.T.A.R. Academy - PS 63,PK-5,5.0,School For Global Leaders,6-8,6.0,Cascades High School,9-12,3.0,10003,New York,MANHATTAN,4940.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"123 Washington St, New York, NY 10006",W Downtown Hotel & Residences,,Apartment buildingStudio-24 bedsIn-unit dryer + 1,"Dishwasher, Dryer, Washer",,,,,,,,,,10006,New York,MANHATTAN,,,MUSEUM,0,123,63,43,Very Safe
"13105 40th Rd APT 11G, Flushing, NY 11354","13105 40th Rd APT 11G, Flushing, NY 11354","$3,300/mo",ApartmentAvailable Fri Nov 1 2024-- One-time fees-- PetsCentral airIn unit laundry + 1Garage parking-- Heating,,,,,,,,,,,11354,Flushing,QUEENS,3300.0,,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"1368 York Ave #A3, New York, NY 10021","1368 York Ave #A3, New York, NY 10021","$2,750/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10021,New York,MANHATTAN,2750.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"138-28 Queens Blvd #5G, Jamaica, NY 11435","138-28 Queens Blvd #5G, Jamaica, NY 11435","$2,850/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CShared laundryGarage parking-- Heating",,,,,,,,,,,11435,Jamaica,QUEENS,2850.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"140 E 31st St APT 70, New York, NY 10016","140 E 31st St APT 70, New York, NY 10016","$3,795/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CIn unit laundry + 1-- Parking-- Heating,,,,,,,,,,,10016,New York,MANHATTAN,3795.0,,MUSEUM,0,123,63,43,Very Safe
"141-40 Pershing Cres #4, Jamaica, NY 11435","141-40 Pershing Cres #4, Jamaica, NY 11435","$2,000/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11435,Jamaica,QUEENS,2000.0,,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"15 Cliff St, New York, NY 10038",15 Cliff,"$4,851-$5,251/mo",Apartment building1-2 beds,Dishwasher,,,,,,,,,,10038,New York,MANHATTAN,5051.0,,MUSEUM,0,123,63,43,Very Safe
"15 Cooper St #1B, Brooklyn, NY 11207","15 Cooper St #1B, Brooklyn, NY 11207","$2,500/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OKCentral airIn unit laundry + 1-- Parking-- Heating",,,,,,,,,,,11207,Brooklyn,BROOKLYN,2500.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"15 Stanton St #4AC, New York, NY 10002","15 Stanton St #4AC, New York, NY 10002","$3,499/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,10002,New York,MANHATTAN,3499.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"152-09 88th Ave #522, Jamaica, NY 11432","152-09 88th Ave #522, Jamaica, NY 11432","$2,700/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,11432,Jamaica,QUEENS,2700.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"152-11 89th Ave #242, Jamaica, NY 11432","152-11 89th Ave #242, Jamaica, NY 11432","$2,550/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/CIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,11432,Jamaica,QUEENS,2550.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"1533 E 19th St #1A, Brooklyn, NY 11230","1533 E 19th St #1A, Brooklyn, NY 11230","$2,625/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,11230,Brooklyn,BROOKLYN,2625.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"154 Franklin St APT 3F, Brooklyn, NY 11222","154 Franklin St APT 3F, Brooklyn, NY 11222","$4,950/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,11222,Brooklyn,BROOKLYN,4950.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"1595 Lexington Ave APT 5G, New York, NY 10029","1595 Lexington Ave APT 5G, New York, NY 10029","$3,400/mo",ApartmentAvailable Now-- One-time fees-- PetsCentral airShared laundry-- Parking-- Heating,,,,,,,,,,,10029,New York,MANHATTAN,3400.0,,MUSEUM,0,123,63,43,Very Safe
"160 W 24th St, New York, NY 10011",The Chelsea,"$4,686/mo",Apartment buildingStudio-2 bedsPet-friendlyIn-unit dryer + 2,"Dishwasher, Dryer, Washer",PS 11 Sarah J Garnett Elementary School (The),PK-5,6.0,Jhs 104 Simon Baruch,6-8,7.0,The High School of Fashion Industries,9-12,5.0,10011,New York,MANHATTAN,4686.0,Allowed,MUSEUM,0,123,63,43,Very Safe
"1609 Ocean Ave APT 1B, Brooklyn, NY 11230","1609 Ocean Ave APT 1B, Brooklyn, NY 11230","$1,685/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,11230,Brooklyn,BROOKLYN,1685.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"171 Metropolitan Ave #1F, Brooklyn, NY 11249","171 Metropolitan Ave #1F, Brooklyn, NY 11249","$3,450/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11249,Brooklyn,BROOKLYN,3450.0,,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"1711 Linden St #1AA, Ridgewood, NY 11385","1711 Linden St #1AA, Ridgewood, NY 11385","$2,950/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,11385,Ridgewood,QUEENS,2950.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"178-60 Wexford Ter #5H, Jamaica, NY 11432","178-60 Wexford Ter #5H, Jamaica, NY 11432","$1,995/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,,,,,,,,,,,11432,Jamaica,QUEENS,1995.0,,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"18 6th Ave #3114, Brooklyn, NY 11217","18 6th Ave #3114, Brooklyn, NY 11217","$4,300/mo","ApartmentAvailable Sat Oct 12 2024-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1-- Parking-- Heating",,,,,,,,,,,11217,Brooklyn,BROOKLYN,4300.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"180 W 20th St, Manhattan, NY 10011",The Westminster,,,,,,,,,,,,,10011,Manhattan,MANHATTAN,,,MUSEUM,0,123,63,43,Very Safe
"181 7th Ave APT 2, Brooklyn, NY 11215","181 7th Ave APT 2, Brooklyn, NY 11215","$2,900/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11215,Brooklyn,BROOKLYN,2900.0,,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"1838 2nd Ave #2A, New York, NY 10128","1838 2nd Ave #2A, New York, NY 10128","$3,645/mo",ApartmentAvailable Mon Dec 9 2024-- One-time fees-- PetsCentral airShared laundry-- Parking-- Heating,,,,,,,,,,,10128,New York,MANHATTAN,3645.0,,MUSEUM,0,123,63,43,Very Safe
"1928 Linden St #1A, Ridgewood, NY 11385","1928 Linden St #1A, Ridgewood, NY 11385","$2,500/mo","ApartmentAvailable --- ---- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,11385,Ridgewood,QUEENS,2500.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"2-26 50th Ave #3C, Long Island City, NY 11101","2-26 50th Ave #3C, Long Island City, NY 11101","$5,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,11101,Long Island City,QUEENS,5000.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"200 Rector Pl, New York, NY 10280",Liberty Court,,Apartment buildingStudio-5 beds,Dishwasher,Middle 297,6-8,4.0,Battery Park City School,PK-8,9.0,Leadership And Public Service High School,9-12,5.0,10280,New York,MANHATTAN,,,MUSEUM,0,123,63,43,Very Safe
"201 E 87th St, Manhattan, NY 10128",Claridge House,,Apartment buildingStudio-4 bedsPet-friendlyOther parking + 2Air conditioning (central)In-unit dryer + 2,"Dishwasher, Dryer, Washer",,,,,,,,,,10128,Manhattan,MANHATTAN,,Allowed,MUSEUM,0,123,63,43,Very Safe
"2117 22nd Rd APT 1, Astoria, NY 11105","2117 22nd Rd APT 1, Astoria, NY 11105","$2,400/mo",ApartmentAvailable Tue Oct 15 2024-- One-time fees-- Pets-- A/CIn unit laundry-- Parking-- Heating,,,,,,,,,,,11105,Astoria,QUEENS,2400.0,,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"2119 21st St #2F, Astoria, NY 11105","2119 21st St #2F, Astoria, NY 11105","$2,100/mo","ApartmentAvailable Tue Oct 15 2024-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,11105,Astoria,QUEENS,2100.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,35,10,68,Relatively Safe
"213 N 5th St APT 2L, Brooklyn, NY 11211","213 N 5th St APT 2L, Brooklyn, NY 11211","$3,190/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11211,Brooklyn,BROOKLYN,3190.0,,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"215 E 89th St APT B, New York, NY 10128","215 E 89th St APT B, New York, NY 10128","$2,395/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,,,,,,,,,,,10128,New York,MANHATTAN,2395.0,,MUSEUM,0,123,63,43,Very Safe
"217 Eckford St #402, Brooklyn, NY 11222","217 Eckford St #402, Brooklyn, NY 11222","$4,700/mo",ApartmentAvailable Tue Oct 15 2024-- One-time fees-- PetsCentral airShared laundryGarage parking-- Heating,,,,,,,,,,,11222,Brooklyn,BROOKLYN,4700.0,,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
"222 W 83rd St #10H, New York, NY 10024","222 W 83rd St #10H, New York, NY 10024","$4,395/mo",ApartmentAvailable --- ---- One-time fees-- Pets-- A/CShared laundry-- Parking-- Heating,,,,,,,,,,,10024,New York,MANHATTAN,4395.0,,MUSEUM,0,123,63,43,Very Safe
"225 Maujer St APT 2B, Brooklyn, NY 11206","225 Maujer St APT 2B, Brooklyn, NY 11206","$3,942/mo",ApartmentAvailable --- ---- One-time feesDogs OK-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11206,Brooklyn,BROOKLYN,3942.0,Allowed,COMMERCIAL GARAGE AND PARKING LOT,1,39,14,61,Caution Advised
